UF;Ano;Plantada;Colhida;Valor prod;nº trab;Sal. Médio;VBP;CI;VAB
Paraná;2020;10866307;10865644;59797565;87943;2151;90923;37316;53607
Santa Catarina;2014;1622739;1615086;8529605;36201;1253;17762;7085;10677
Santa Catarina;2015;1594041;1581244;8387180;35498;1395;18647;8164;10483
Santa Catarina;2016;1577861;1573363;10797612;34762;1494;21950;8889;13061
Santa Catarina;2017;1569090;1548103;10103592;31699;1594;21119;9090;12029
Santa Catarina;2018;1517154;1512716;9756258;30855;1651;21263;9632;11631
Santa Catarina;2019;1509001;1505000;10173950;31807;1750;23140;10058;13082
Santa Catarina;2020;1511365;1509824;12477596;32145;1808;28745;11837;16908
Rio Grande do Sul;2014;9048410;9031185;30588721;76122;1445;45265;17868;27397
Rio Grande do Sul;2015;8966521;8941887;33046291;78310;1610;50740;21181;29559
Rio Grande do Sul;2016;8934034;8869923;38412336;79126;1783;56414;22158;34256
Rio Grande do Sul;2017;9072148;9055832;37426035;78376;1903;54737;23000;31737
Rio Grande do Sul;2018;9071071;8995602;39185559;76165;1960;59154;25568;33586
Rio Grande do Sul;2019;9220201;9170906;40918635;74185;1961;61365;27310;34055
Rio Grande do Sul;2020;9532319;9501373;38095810;73798;2053;62391;28876;33515
Mato Grosso do Sul;2014;4557084;4555459;11497277;61925;1475;20870;10628;10242
Mato Grosso do Sul;2015;4749875;4743631;13140753;62688;1610;24929;13178;11751
Mato Grosso do Sul;2016;4945499;4899405;15390415;64353;1762;27624;13862;13762
Mato Grosso do Sul;2017;5284089;5282706;15284609;63937;1862;27020;14717;12303
Mato Grosso do Sul;2018;5476878;5467545;19088340;63222;1917;32648;17386;15262
Mato Grosso do Sul;2019;5794832;5791872;19239006;64126;1956;32835;19107;13728
Mato Grosso do Sul;2020;5956921;5956336;27998237;64361;2071;45869;22778;23091
Mato Grosso;2014;13613926;13552610;33993586;126554;1913;46529;28129;18399
Mato Grosso;2015;14143427;14112886;36764804;120487;2066;53707;35045;18661
Mato Grosso;2016;14551044;14297088;43698993;120489;2205;60305;35849;24456
Mato Grosso;2017;15619823;15586181;43383793;116999;2402;60129;38224;21905
Mato Grosso;2018;15523336;15515876;50165772;110822;2492;71244;46148;25096
Mato Grosso;2019;16640532;16632047;58355552;106090;2486;81393;54935;26458
Mato Grosso;2020;17188641;17187508;79209570;103638;2683;109770;64437;45333
Goiás;2014;6135462;6135201;18004908;88512;1604;28925;13511;15414
Goiás;2015;6125209;6114291;19325278;91006;1721;31928;15934;15994
Goiás;2016;6345627;6049297;23976521;93645;1864;36649;17041;19608
Goiás;2017;6436529;6431544;24463105;94224;1943;37155;17830;19326
Goiás;2018;6351417;6344144;26101071;96967;2007;40221;20411;19810
Goiás;2019;6676276;6663002;29413475;92596;2001;43731;22652;21080
Goiás;2020;6935757;6929925;36202438;94192;2114;55601;26693;28908
Distrito Federal;2014;175023;175023;768644;7770;2850;1413;679;734
Distrito Federal;2015;161011;160622;646383;6322;1676;1222;643;578
Distrito Federal;2016;166489;166419;764001;6199;1770;1485;724;761
Distrito Federal;2017;162894;162894;822413;5991;1785;1428;667;761
Distrito Federal;2018;165073;164900;848687;5627;1835;1662;712;950
Distrito Federal;2019;165445;163915;909506;5298;1709;1659;750;910
Distrito Federal;2020;171565;171535;1404369;5325;1820;2436;931;1505
;;;;;;;;;
